ride_date,num_rides,avg_duration_min,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,month,day_of_week_original_Monday,day_of_week_original_Saturday,day_of_week_original_Sunday,day_of_week_original_Thursday,day_of_week_original_Tuesday,day_of_week_original_Wednesday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,day_of_week_original_Monday,day_of_week_original_Saturday,day_of_week_original_Sunday,day_of_week_original_Thursday,day_of_week_original_Tuesday,day_of_week_original_Wednesday,day_of_week_original_Monday,day_of_week_original_Saturday,day_of_week_original_Sunday,day_of_week_original_Thursday,day_of_week_original_Tuesday,day_of_week_original_Wednesday,day_of_week_original_Monday,day_of_week_original_Saturday,day_of_week_original_Sunday,day_of_week_original_Thursday,day_of_week_original_Tuesday,day_of_week_original_Wednesday,year,days_since_launch
2013-08-17,37285,20.104246122211794,73.6,81.0,66.9,5.2,0.0,8,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,47
2013-08-18,27612,16.943679680332224,72.5,81.0,68.0,5.2,0.0,8,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,48
2013-08-19,33127,14.89228172387076,73.5,80.1,68.0,5.5,0.0,8,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,49
2013-08-20,35843,14.974709148229778,77.5,89.1,68.0,4.5,0.0,8,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,50
2013-08-21,36315,15.094893294781771,81.1,90.0,70.0,4.5,0.0,8,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,51
2013-08-22,26629,14.405246786085344,77.5,90.0,73.0,5.8,0.0,8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,52
2013-08-23,33503,15.743948303137028,76.2,81.0,72.0,9.0,0.24,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,53
2013-08-24,32941,18.07967173633669,71.5,81.0,64.0,8.9,0.0,8,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,54
2013-08-25,31755,19.063203694956176,73.8,82.9,64.0,4.8,0.0,8,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,55
2013-08-26,29979,15.47495413456086,75.3,84.0,66.9,9.1,0.0,8,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,56
2013-08-27,34208,15.067807725288436,78.3,86.0,70.0,10.6,0.01,8,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,57
2013-08-28,28185,14.159055644255217,78.0,86.0,73.0,3.2,0.1,8,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,58
2013-08-29,34215,14.31313556432364,74.6,84.9,71.1,7.3,0.0,8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,59
2013-08-30,32318,15.444152897250245,75.4,86.0,69.1,7.4,0.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,60
2013-08-31,25381,17.858579252196535,78.5,86.0,69.1,8.8,0.0,8,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,61
2013-09-01,25235,18.374891354600088,79.6,86.0,73.0,8.0,0.0,9,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,62
2013-09-02,21416,16.858852415639397,76.9,80.6,71.6,4.8,0.0,9,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,63
2013-09-03,32411,14.437786553947737,76.2,82.0,72.0,6.7,0.99,9,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,64
2013-09-04,36798,15.071607152562642,73.3,82.0,66.0,10.4,0.09,9,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,65
2013-09-05,35825,14.598231681786464,74.3,82.0,66.0,9.3,0.0,9,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,66
2013-09-06,35868,14.809940150923758,64.8,77.0,57.0,7.5,0.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,67
2013-09-07,34419,17.375818104341604,68.3,79.0,57.0,6.5,0.0,9,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,68
2013-09-08,33196,17.081960175924806,73.9,80.1,61.0,8.7,0.0,9,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,69
2013-09-09,35394,15.262479987191798,65.9,80.1,57.9,7.7,0.0,9,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,70
2013-09-10,36954,14.481477873392144,74.8,88.0,57.9,8.8,0.0,9,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,71
2013-09-11,35812,14.02912990059198,83.6,93.9,69.1,7.5,0.0,9,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,72
2013-09-12,31252,13.67864350014932,80.6,88.0,71.1,8.4,0.0,9,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,73
2013-09-13,36501,14.655901208186071,71.3,86.0,68.0,9.4,1.3,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,74
2013-09-14,31607,16.690705118064564,61.6,77.0,55.9,10.8,0.03,9,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,75
2013-09-15,31914,17.268670489440368,61.5,73.0,54.0,6.9,0.0,9,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,76
2013-09-16,31287,13.804180650110272,65.8,73.0,54.0,6.9,0.0,9,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,77
2013-09-17,38283,13.883002028750797,58.2,72.0,48.9,10.1,0.02,9,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,78
2013-09-18,37957,13.932727384496486,61.8,71.1,48.9,5.0,0.0,9,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,79
2013-09-19,39200,14.114456207482991,65.0,77.0,55.0,5.4,0.0,9,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,80
2013-09-20,39382,14.81144685389264,68.1,78.1,57.0,5.8,0.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,81
2013-09-21,31826,17.04590691049247,67.4,78.1,61.0,9.4,0.0,9,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,82
2013-09-22,29758,16.50093868315523,66.3,75.9,61.0,12.9,0.98,9,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,83
2013-09-23,35152,13.871636037778789,58.5,68.0,52.0,10.6,0.53,9,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,84
2013-09-24,38417,13.784679525557266,59.1,73.0,50.0,8.0,0.0,9,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,85
2013-09-25,38223,13.994420898411953,64.1,73.0,50.0,5.4,0.0,9,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,86
2013-09-26,38189,13.785808304311011,63.9,72.0,55.0,6.2,0.0,9,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,87
2013-09-27,37412,14.230190402366448,61.5,69.1,57.0,6.4,0.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,88
2013-09-28,34931,17.024874753084653,64.4,73.0,57.0,7.3,0.0,9,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,89
2013-09-29,32592,16.523521109474718,64.6,73.0,57.9,4.9,0.0,9,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,90
2013-09-30,37148,13.72839722192312,63.9,73.0,57.9,4.1,0.0,9,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,91
2013-10-01,40575,13.70624399260628,68.9,81.0,57.9,5.5,0.0,10,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,92
2013-10-02,41383,13.91375202377788,73.9,84.0,62.1,6.0,0.0,10,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,93
2013-10-03,40456,13.724642409860918,72.6,84.0,64.9,4.3,0.0,10,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,94
2013-10-04,40195,14.67306008209977,74.0,86.0,64.9,4.9,0.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,95
2013-10-05,34181,16.759140068069005,68.3,86.0,64.0,6.7,0.03,10,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,96
2013-10-06,26574,14.685509018840468,66.5,73.0,64.0,7.6,0.01,10,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,97
2013-10-07,25016,12.651673595565503,70.7,77.0,64.0,11.8,0.33,10,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,98
2013-10-08,38365,13.779678960858416,61.6,77.0,55.9,10.2,0.0,10,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,99
2013-10-09,36969,12.841222375503802,59.7,66.0,54.0,12.3,0.0,10,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,100
2013-10-10,31171,12.400746420283806,59.1,66.0,54.0,13.2,0.0,10,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,101
2013-10-11,33357,13.342567277233169,63.7,69.1,54.0,16.4,0.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,102
